OrderID,CustomerID,OrderVolume,ShipMode,Segment,Category,PaymentTerm,Discount,ExistingPurchaseOrder,FirstCustomerOrder,CashInDate
O-191,1014,26.43,Standard Class,Corporate,Furniture,45,5,Yes,No,18-02-2011
O-192,1019,31.12,Standard Class,Corporate,Office Supplies,14,5,Yes,No,02-02-2011
O-194,1005,6.54,Standard Class,Corporate,Office Supplies,14,5,Yes,No,31-01-2011
O-195,1000,4.7,Second Class,Consumer,Office Supplies,30,0,Yes,No,22-02-2011
O-196,1019,5.48,Standard Class,Corporate,Office Supplies,30,0,Yes,No,19-02-2011
O-198,1010,1322.8,First Class,Consumer,Office Supplies,14,5,Yes,No,13-02-2011
O-199,1022,967.98,Second Class,Corporate,Furniture,30,5,Yes,No,24-02-2011
O-200,1010,451.6,First Class,Consumer,Furniture,45,5,Yes,No,05-03-2011
O-201,1010,244.5,First Class,Consumer,Technology,30,5,Yes,No,13-02-2011
O-202,1010,139.8,First Class,Consumer,Office Supplies,30,0,Yes,No,23-02-2011
O-205,1029,239.74,Standard Class,Corporate,Technology,14,0,Yes,No,07-02-2011
O-206,1010,396.9,Second Class,Consumer,Office Supplies,14,5,Yes,No,21-02-2011
O-207,1024,157.82,Standard Class,Corporate,Office Supplies,14,0,No,No,05-03-2011
O-208,1031,76.73,Standard Class,Consumer,Furniture,45,5,Yes,No,06-02-2011
O-209,1013,49.7,Second Class,Consumer,Office Supplies,14,0,Yes,No,19-02-2011
O-210,1029,51.63,Standard Class,Corporate,Office Supplies,14,0,Yes,No,21-02-2011
O-211,1029,89.99,Standard Class,Corporate,Office Supplies,30,0,Yes,No,19-02-2011
O-212,1029,38.77,Standard Class,Corporate,Office Supplies,14,3,Yes,No,14-02-2011
O-213,1031,19.54,Standard Class,Consumer,Office Supplies,14,5,Yes,No,20-01-2011
O-214,1024,9.32,Standard Class,Corporate,Office Supplies,14,5,Yes,No,22-02-2011
O-215,1031,10.43,Standard Class,Consumer,Office Supplies,14,5,No,No,03-02-2011
O-225,1004,9.34,Standard Class,Consumer,Office Supplies,45,0,Yes,Yes,24-02-2011
O-216,1020,986.9,Standard Class,Consumer,Furniture,30,0,Yes,No,06-02-2011
O-217,1008,176.68,Standard Class,Consumer,Technology,45,5,No,No,23-02-2011
O-219,1015,123.75,Standard Class,Consumer,Technology,45,3,Yes,No,26-02-2011
O-221,1015,45.19,Standard Class,Consumer,Office Supplies,45,3,No,No,10-03-2011
O-222,1021,16.65,Standard Class,Corporate,Office Supplies,30,5,No,No,07-03-2011
O-223,1031,31.2,Standard Class,Consumer,Technology,14,3,Yes,No,19-01-2011
O-224,1008,9.61,Standard Class,Consumer,Office Supplies,30,5,Yes,No,10-02-2011
O-227,1010,105.52,First Class,Consumer,Office Supplies,45,0,Yes,No,06-03-2011
O-228,1020,267.98,Standard Class,Consumer,Furniture,14,0,Yes,No,05-02-2011
O-229,1015,149.97,Same Day,Consumer,Office Supplies,45,3,Yes,No,04-03-2011
O-231,1008,141.57,Standard Class,Consumer,Furniture,45,5,No,No,27-02-2011
O-233,1029,114.77,Standard Class,Corporate,Office Supplies,45,5,No,No,09-03-2011
O-234,1013,113.82,Standard Class,Consumer,Office Supplies,45,3,Yes,No,07-03-2011
O-236,1028,33.93,First Class,Consumer,Office Supplies,30,5,Yes,No,12-02-2011
O-238,1031,9.94,First Class,Consumer,Furniture,30,5,No,No,04-02-2011
O-239,1028,40.35,Standard Class,Consumer,Office Supplies,14,5,Yes,No,02-02-2011
O-240,1008,12.5,Second Class,Consumer,Office Supplies,30,5,Yes,No,18-02-2011
O-241,1010,16.1,Standard Class,Consumer,Office Supplies,45,5,Yes,No,04-03-2011
O-242,1011,572.58,Second Class,Corporate,Office Supplies,45,3,Yes,No,14-03-2011
O-243,1019,646.74,Second Class,Corporate,Technology,30,0,Yes,No,09-02-2011
O-244,1029,696.85,Standard Class,Corporate,Technology,45,5,Yes,No,20-02-2011
O-246,1019,50.94,Second Class,Corporate,Office Supplies,14,0,Yes,No,12-02-2011
O-248,1029,77.72,Standard Class,Corporate,Furniture,30,5,Yes,No,19-02-2011
O-249,1019,51.94,Standard Class,Corporate,Furniture,45,0,Yes,No,17-02-2011
O-250,1005,11.36,Second Class,Corporate,Office Supplies,30,5,No,No,05-03-2011
O-252,1021,15.55,Standard Class,Corporate,Office Supplies,30,3,Yes,No,04-03-2011
O-255,1022,12.67,Standard Class,Corporate,Office Supplies,30,3,Yes,No,17-03-2011
O-256,1022,4.55,Standard Class,Corporate,Office Supplies,30,0,Yes,No,13-03-2011
O-257,1021,3.09,Standard Class,Corporate,Office Supplies,14,0,No,No,08-03-2011
O-258,1021,17.36,Standard Class,Corporate,Office Supplies,30,5,Yes,No,02-03-2011
O-259,1005,2.89,Standard Class,Corporate,Office Supplies,45,5,Yes,No,01-03-2011
O-260,1012,495.06,Standard Class,Corporate,Technology,14,5,Yes,No,16-02-2011
O-261,1031,545.94,Second Class,Consumer,Furniture,14,5,Yes,No,20-01-2011
O-262,1012,265.44,First Class,Corporate,Furniture,14,5,Yes,No,12-02-2011
O-263,1012,384.97,Standard Class,Corporate,Technology,14,5,Yes,No,10-02-2011
O-264,1013,201.26,Standard Class,Consumer,Technology,30,5,Yes,No,16-02-2011
O-265,1030,290.1,Standard Class,Corporate,Furniture,45,5,Yes,No,18-02-2011
O-266,1012,26.4,Standard Class,Corporate,Office Supplies,45,3,Yes,No,13-03-2011
O-268,1003,652.32,First Class,Corporate,Furniture,14,5,No,No,21-02-2011
O-270,1023,1199.76,Standard Class,Consumer,Technology,45,3,Yes,No,17-02-2011
O-271,1031,149.95,First Class,Consumer,Technology,14,5,Yes,No,22-01-2011
O-272,1008,554.37,Standard Class,Consumer,Technology,14,5,Yes,No,24-01-2011
O-273,1008,333.69,Standard Class,Consumer,Office Supplies,14,5,Yes,No,12-02-2011
O-274,1008,187.57,Standard Class,Consumer,Furniture,14,0,Yes,No,07-02-2011
O-275,1006,109.85,Standard Class,Consumer,Office Supplies,30,5,Yes,No,16-02-2011
O-276,1027,79.37,Standard Class,Consumer,Office Supplies,30,3,Yes,No,23-02-2011
O-280,1027,79.15,Standard Class,Consumer,Office Supplies,14,5,Yes,No,04-02-2011
O-281,1015,4.91,Standard Class,Consumer,Office Supplies,14,5,Yes,No,09-02-2011
O-283,1026,485.73,Standard Class,Corporate,Technology,45,5,Yes,Yes,09-03-2011
O-282,1004,1325.85,Standard Class,Consumer,Office Supplies,14,0,No,No,08-02-2011
O-285,1004,334,Standard Class,Consumer,Furniture,14,3,Yes,No,28-01-2011
O-286,1003,299.97,Second Class,Corporate,Office Supplies,45,0,Yes,No,09-03-2011
O-287,1031,127.1,Second Class,Consumer,Furniture,30,5,Yes,No,04-02-2011
O-288,1026,551.61,Standard Class,Corporate,Furniture,14,5,Yes,No,15-02-2011
O-289,1030,224.07,Standard Class,Corporate,Office Supplies,14,5,Yes,No,15-02-2011
O-290,1026,522.06,Standard Class,Corporate,Technology,45,0,Yes,No,14-03-2011
O-291,1004,124.2,Second Class,Consumer,Technology,30,0,Yes,No,08-02-2011
O-292,1020,198.42,Standard Class,Consumer,Office Supplies,45,5,Yes,No,23-02-2011
O-293,1004,30.07,Second Class,Consumer,Office Supplies,30,5,No,No,11-02-2011
O-294,1003,84.38,Second Class,Corporate,Office Supplies,30,3,Yes,No,02-03-2011
O-296,1007,95.04,Second Class,Corporate,Office Supplies,14,3,Yes,No,25-02-2011
O-297,1007,45.85,Second Class,Corporate,Office Supplies,30,0,Yes,No,16-03-2011
O-298,1004,18.59,Second Class,Consumer,Office Supplies,30,5,Yes,No,12-02-2011
O-299,1004,19.9,Standard Class,Consumer,Office Supplies,14,5,Yes,No,27-01-2011
O-300,1007,16.74,Standard Class,Corporate,Office Supplies,14,0,Yes,No,23-02-2011
O-301,1028,49.8,Standard Class,Consumer,Office Supplies,30,5,Yes,No,26-02-2011
O-302,1031,37.41,Standard Class,Consumer,Office Supplies,30,0,Yes,No,18-02-2011
O-304,1028,9.04,Standard Class,Consumer,Office Supplies,45,5,Yes,No,28-02-2011
O-305,1004,3.44,Standard Class,Consumer,Office Supplies,30,3,Yes,No,11-02-2011
O-306,1007,526.62,Second Class,Corporate,Technology,14,5,Yes,No,10-02-2011
O-307,1021,825.36,Same Day,Corporate,Furniture,30,0,Yes,No,08-03-2011
O-308,1025,372.28,Same Day,Corporate,Office Supplies,45,3,Yes,No,17-03-2011
O-309,1003,145.26,First Class,Corporate,Office Supplies,45,3,No,No,25-03-2011
O-310,1012,393.48,Standard Class,Corporate,Furniture,30,5,Yes,No,01-03-2011
O-312,1003,248.94,Second Class,Corporate,Office Supplies,14,0,Yes,No,27-02-2011
O-314,1022,48.51,Same Day,Corporate,Office Supplies,45,5,Yes,No,23-03-2011
O-315,1026,169.5,Second Class,Corporate,Office Supplies,14,5,Yes,No,24-02-2011
O-316,1021,48,Same Day,Corporate,Office Supplies,30,3,Yes,No,08-03-2011
O-317,1012,109.38,Standard Class,Corporate,Office Supplies,14,0,Yes,No,03-03-2011
O-318,1030,54.6,Second Class,Corporate,Office Supplies,30,5,Yes,No,05-03-2011
O-319,1012,65.92,Standard Class,Corporate,Office Supplies,14,5,Yes,No,20-02-2011
O-320,1020,30.9,Standard Class,Consumer,Office Supplies,45,0,Yes,No,28-02-2011
O-321,1030,20.7,Second Class,Corporate,Office Supplies,30,5,Yes,No,19-02-2011
O-322,1000,417.9,First Class,Consumer,Office Supplies,14,3,No,No,02-03-2011
O-323,1021,746.39,First Class,Corporate,Office Supplies,30,3,Yes,No,17-03-2011
O-324,1004,181.47,First Class,Consumer,Furniture,30,5,Yes,No,05-02-2011
O-325,1022,136.44,Standard Class,Corporate,Office Supplies,45,3,Yes,No,22-03-2011
O-326,1003,108.24,First Class,Corporate,Office Supplies,45,3,Yes,No,14-03-2011
O-328,1000,40.92,First Class,Consumer,Technology,45,3,Yes,No,02-03-2011
O-329,1004,108.72,First Class,Consumer,Office Supplies,30,5,Yes,No,09-02-2011
O-330,1024,98.75,Standard Class,Corporate,Furniture,45,0,Yes,No,13-03-2011
O-331,1024,79.99,Standard Class,Corporate,Office Supplies,30,0,Yes,No,15-03-2011
O-332,1004,32.34,First Class,Consumer,Office Supplies,30,3,No,No,26-02-2011
O-336,1027,14.19,First Class,Consumer,Office Supplies,45,0,Yes,No,13-03-2011
O-337,1000,18.52,Standard Class,Consumer,Office Supplies,30,5,Yes,No,28-02-2011
O-338,1023,14.71,Standard Class,Consumer,Office Supplies,30,5,No,No,21-02-2011
O-344,1017,16.29,Second Class,Corporate,Office Supplies,30,0,Yes,Yes,11-03-2011
O-340,1027,140.91,First Class,Consumer,Furniture,45,0,Yes,No,04-03-2011
O-341,1016,64.86,Second Class,Corporate,Office Supplies,45,0,Yes,No,04-03-2011
O-342,1006,10.32,Second Class,Consumer,Office Supplies,30,5,No,No,19-02-2011
O-347,1008,59.72,First Class,Consumer,Office Supplies,14,5,Yes,No,09-02-2011
O-348,1029,278.4,Standard Class,Corporate,Technology,14,5,Yes,No,07-02-2011
O-349,1010,47.96,Same Day,Consumer,Office Supplies,14,3,No,No,07-03-2011
O-351,1013,25.8,Same Day,Consumer,Office Supplies,30,3,Yes,No,11-03-2011
O-354,1008,6.32,First Class,Consumer,Office Supplies,14,5,Yes,No,11-02-2011
O-355,1007,17.05,Standard Class,Corporate,Office Supplies,14,3,Yes,No,04-03-2011
O-356,1014,1302.78,Same Day,Corporate,Technology,45,5,Yes,No,23-02-2011
O-357,1014,560.97,Same Day,Corporate,Office Supplies,14,5,Yes,No,23-02-2011
O-358,1025,716,Standard Class,Corporate,Technology,14,5,Yes,No,17-02-2011
O-359,1025,226.4,Standard Class,Corporate,Furniture,45,5,Yes,No,10-03-2011
O-360,1022,95.1,First Class,Corporate,Office Supplies,30,0,Yes,No,21-03-2011
O-362,1023,37.44,Standard Class,Consumer,Office Supplies,45,3,Yes,No,07-03-2011
O-363,1025,52.72,Standard Class,Corporate,Technology,14,5,Yes,No,28-02-2011
O-364,1023,23.62,Standard Class,Consumer,Office Supplies,30,3,Yes,No,27-02-2011
O-365,1031,25.25,Second Class,Consumer,Furniture,45,5,Yes,No,17-02-2011
O-366,1008,138.75,Second Class,Consumer,Furniture,14,5,Yes,No,09-02-2011
O-367,1012,195.65,Standard Class,Corporate,Furniture,45,3,Yes,No,23-03-2011
O-368,1028,58.44,Standard Class,Consumer,Office Supplies,30,5,Yes,No,25-02-2011
O-369,1024,51.58,Standard Class,Corporate,Office Supplies,14,5,Yes,No,25-02-2011
O-370,1007,888.93,Standard Class,Corporate,Office Supplies,14,3,Yes,No,07-03-2011
O-371,1026,825.36,Standard Class,Corporate,Furniture,45,5,Yes,No,14-03-2011
O-372,1007,666,Standard Class,Corporate,Office Supplies,45,5,Yes,No,18-03-2011
O-373,1028,72.95,First Class,Consumer,Furniture,45,5,Yes,No,01-03-2011
O-374,1020,119.18,Same Day,Consumer,Furniture,30,0,Yes,No,23-02-2011
O-375,1003,202.2,Standard Class,Corporate,Office Supplies,14,5,Yes,No,21-02-2011
O-376,1028,495.42,Standard Class,Consumer,Technology,14,0,Yes,No,15-02-2011
O-377,1028,69.23,First Class,Consumer,Furniture,30,0,Yes,No,22-02-2011
O-378,1020,55.17,First Class,Consumer,Office Supplies,45,0,Yes,No,06-03-2011
O-379,1012,219.28,Standard Class,Corporate,Furniture,45,5,Yes,No,09-03-2011
O-380,1012,108.92,Standard Class,Corporate,Technology,14,5,Yes,No,27-02-2011
O-381,1022,45.48,First Class,Corporate,Office Supplies,30,5,Yes,No,08-03-2011
O-382,1020,41.16,First Class,Consumer,Office Supplies,30,5,Yes,No,18-02-2011
O-383,1030,53.91,Standard Class,Corporate,Office Supplies,30,5,Yes,No,27-02-2011
O-386,1030,64.64,Standard Class,Corporate,Technology,14,5,Yes,No,12-02-2011
O-388,1030,27.63,Second Class,Corporate,Office Supplies,45,5,Yes,No,19-03-2011
O-389,1028,11.7,Same Day,Consumer,Office Supplies,45,5,Yes,No,13-03-2011
O-391,1004,19.3,Standard Class,Consumer,Furniture,14,5,Yes,No,31-01-2011
O-393,1013,2797.25,Standard Class,Consumer,Furniture,14,0,No,No,08-03-2011
O-394,1029,334.3,First Class,Corporate,Furniture,14,5,Yes,No,13-02-2011
O-395,1014,1244.16,Standard Class,Corporate,Office Supplies,45,3,Yes,No,19-03-2011
O-396,1031,1067.94,Standard Class,Consumer,Furniture,30,0,Yes,No,18-02-2011
O-397,1004,699.93,Standard Class,Consumer,Technology,45,3,Yes,No,15-02-2011
O-398,1013,404.88,Standard Class,Consumer,Technology,45,0,Yes,No,09-03-2011
O-400,1031,272.94,Standard Class,Consumer,Furniture,14,3,Yes,No,09-02-2011
O-401,1013,182.32,Standard Class,Consumer,Technology,45,5,No,No,15-03-2011
O-402,1004,247.72,Standard Class,Consumer,Office Supplies,30,5,Yes,No,17-02-2011
O-404,1010,107.4,Standard Class,Consumer,Office Supplies,14,5,Yes,No,27-02-2011
O-405,1004,66.58,Standard Class,Consumer,Office Supplies,14,5,Yes,No,06-02-2011
O-406,1014,84.6,Standard Class,Corporate,Office Supplies,14,5,Yes,No,28-02-2011
O-407,1010,60.96,Standard Class,Consumer,Office Supplies,45,3,Yes,No,20-03-2011
O-408,1031,43.92,Standard Class,Consumer,Office Supplies,30,5,Yes,No,16-02-2011
O-409,1008,98.22,First Class,Consumer,Office Supplies,30,5,Yes,No,28-02-2011
O-410,1011,67.19,Standard Class,Corporate,Office Supplies,45,0,Yes,No,25-03-2011
O-411,1031,23.34,Standard Class,Consumer,Office Supplies,14,5,Yes,No,12-02-2011
O-413,1014,77.47,Standard Class,Corporate,Furniture,30,5,No,No,05-03-2011
O-414,1031,29.7,Standard Class,Consumer,Office Supplies,30,5,Yes,No,22-02-2011
O-418,1031,22.96,Standard Class,Consumer,Office Supplies,45,5,Yes,No,04-03-2011
O-419,1004,19.05,Standard Class,Consumer,Office Supplies,30,0,Yes,No,27-02-2011
O-420,1031,13.98,Standard Class,Consumer,Office Supplies,14,0,Yes,No,19-02-2011
O-423,1004,6.63,Standard Class,Consumer,Office Supplies,14,5,Yes,No,06-02-2011
O-425,1000,147.58,Second Class,Consumer,Technology,30,3,Yes,No,01-03-2011
O-426,1029,79.38,Second Class,Corporate,Office Supplies,30,5,No,No,15-03-2011
O-427,1004,5.94,Standard Class,Consumer,Office Supplies,14,0,Yes,No,12-02-2011
O-428,1027,15.36,Standard Class,Consumer,Office Supplies,30,5,Yes,No,02-03-2011
O-429,1023,3.96,Second Class,Consumer,Office Supplies,30,0,Yes,No,24-02-2011
O-431,1020,445.23,Standard Class,Consumer,Office Supplies,30,0,Yes,No,25-02-2011
O-432,1013,115.44,Second Class,Consumer,Office Supplies,30,5,Yes,No,10-03-2011
O-433,1022,76.26,Second Class,Corporate,Office Supplies,30,5,Yes,No,15-03-2011
O-435,1020,108,Second Class,Consumer,Office Supplies,30,5,Yes,No,21-02-2011
O-436,1015,110.81,Standard Class,Consumer,Technology,45,3,Yes,No,12-03-2011
O-437,1020,136.35,Second Class,Consumer,Office Supplies,45,0,Yes,No,12-03-2011
O-439,1013,30.68,Second Class,Consumer,Office Supplies,14,3,No,No,14-03-2011
O-442,1004,40.08,Standard Class,Consumer,Office Supplies,30,3,Yes,No,02-03-2011
O-443,1000,50.7,First Class,Consumer,Furniture,30,0,Yes,No,26-02-2011
O-445,1000,16.59,First Class,Consumer,Office Supplies,14,5,Yes,No,20-02-2011
O-449,1015,11.88,Standard Class,Consumer,Office Supplies,45,5,Yes,No,20-03-2011
O-450,1026,11.43,Standard Class,Corporate,Office Supplies,45,5,Yes,No,26-03-2011
O-452,1000,5.34,First Class,Consumer,Office Supplies,45,3,Yes,No,10-03-2011
O-453,1024,161.89,Same Day,Corporate,Furniture,30,5,Yes,No,03-03-2011
O-455,1021,284.88,Standard Class,Corporate,Office Supplies,14,0,Yes,No,23-03-2011
O-456,1019,141.96,First Class,Corporate,Furniture,14,5,Yes,No,15-02-2011
O-457,1008,420.42,Standard Class,Consumer,Office Supplies,30,5,Yes,No,02-03-2011
O-458,1020,177.66,Standard Class,Consumer,Office Supplies,45,3,Yes,No,04-03-2011
O-459,1015,219.96,Standard Class,Consumer,Furniture,45,5,Yes,No,07-03-2011
O-461,1020,88.2,Standard Class,Consumer,Technology,45,5,Yes,No,25-02-2011
O-462,1028,51.6,Standard Class,Consumer,Office Supplies,45,5,Yes,No,12-03-2011
O-463,1020,31.5,Standard Class,Consumer,Office Supplies,14,3,Yes,No,15-02-2011
O-465,1000,41.76,Standard Class,Consumer,Office Supplies,14,0,Yes,No,06-03-2011
O-466,1011,10.68,First Class,Corporate,Office Supplies,30,0,Yes,No,18-03-2011
O-469,1023,310.59,Standard Class,Consumer,Technology,30,5,Yes,No,19-02-2011
O-470,1006,318.24,Standard Class,Consumer,Office Supplies,45,5,Yes,No,10-03-2011
O-471,1000,124.29,Standard Class,Consumer,Technology,30,0,Yes,No,07-03-2011
O-472,1008,141.71,Standard Class,Consumer,Office Supplies,30,3,No,No,12-03-2011
O-473,1027,114.86,Standard Class,Consumer,Office Supplies,45,0,Yes,No,17-03-2011
O-475,1029,90.23,First Class,Corporate,Office Supplies,30,5,Yes,No,15-03-2011
O-476,1006,33.89,Standard Class,Consumer,Furniture,45,3,Yes,No,09-03-2011
O-477,1013,34.56,Standard Class,Consumer,Office Supplies,45,5,Yes,No,22-03-2011
O-478,1023,8.76,Standard Class,Consumer,Office Supplies,45,3,Yes,No,19-03-2011
O-479,1027,16.3,Standard Class,Consumer,Office Supplies,45,0,No,No,22-03-2011
O-482,1000,3.79,First Class,Consumer,Office Supplies,45,5,Yes,No,17-03-2011
O-483,1006,5.05,Standard Class,Consumer,Office Supplies,30,3,Yes,No,06-03-2011
O-484,1019,489.92,Standard Class,Corporate,Office Supplies,30,3,No,No,15-03-2011
O-485,1005,187.98,Standard Class,Corporate,Technology,45,3,Yes,No,17-03-2011
O-486,1029,366.87,Standard Class,Corporate,Technology,45,5,Yes,No,16-03-2011
O-489,1027,229.56,Standard Class,Consumer,Office Supplies,30,3,Yes,No,10-03-2011
O-491,1019,62.82,Standard Class,Corporate,Furniture,30,0,Yes,No,28-02-2011
O-492,1015,39.96,Standard Class,Consumer,Office Supplies,30,5,Yes,No,06-03-2011
O-493,1019,19.44,Standard Class,Corporate,Office Supplies,45,0,Yes,No,18-03-2011
O-494,1026,20.13,Standard Class,Corporate,Furniture,30,3,Yes,No,21-03-2011
O-495,1005,16.68,Standard Class,Corporate,Office Supplies,45,0,Yes,No,29-03-2011
O-496,1005,12.42,Standard Class,Corporate,Furniture,30,3,Yes,No,04-03-2011
O-497,1003,378.81,Same Day,Corporate,Technology,14,0,No,No,11-03-2011
O-500,1024,82.06,Standard Class,Corporate,Office Supplies,45,5,Yes,No,29-03-2011
O-501,1008,285.78,Second Class,Consumer,Technology,45,0,Yes,No,11-03-2011
O-502,1004,290.67,First Class,Consumer,Furniture,14,0,Yes,No,18-02-2011
O-504,1013,492.62,Standard Class,Consumer,Furniture,30,5,Yes,No,09-03-2011
O-505,1004,333,Standard Class,Consumer,Furniture,14,5,Yes,No,07-02-2011
O-506,1007,139.65,Second Class,Corporate,Office Supplies,14,5,No,No,16-03-2011
O-507,1013,369.47,Standard Class,Consumer,Furniture,45,5,Yes,No,20-03-2011
O-508,1013,35.22,First Class,Consumer,Office Supplies,45,0,Yes,No,02-04-2011
O-509,1015,40.68,Second Class,Consumer,Office Supplies,45,3,Yes,No,22-03-2011
O-511,1031,57.23,Standard Class,Consumer,Office Supplies,45,5,No,No,14-03-2011
O-515,1020,27.65,Standard Class,Consumer,Office Supplies,45,5,Yes,No,15-03-2011
O-516,1004,468.9,First Class,Consumer,Technology,14,5,Yes,No,07-02-2011
