Cust_id,Qtr1_Bal,Qtr2_Bal,Qtr3_Bal,Qtr4_Bal,Perc_inc_q4_q1,Wallet_trx,Age,Gender,Area
C2337,4,13,12,4,0.11,11,60,Male,South
C5778,11,27,25,12,0.11,11,58,Male,South
C4412,9,23,21,10,0.11,11,69,Male,South
C8453,10,25,32,11,0.11,11,66,Male,West
C5689,7,19,27,8,0.11,11,63,Female,South
C6221,1,7,20,1,0.11,11,61,Female,South
C8549,9,23,14,10,0.11,11,45,Female,East
C9190,5,15,18,6,0.11,11,65,Female,West
C3738,8,21,25,9,0.11,11,50,Female,North
C3279,9,23,22,10,0.11,11,56,Female,North
C7693,14,33,33,16,0.11,11,69,Female,West
C8120,1,7,18,1,0.11,11,60,Female,North
C2775,9,23,13,10,0.11,11,69,Female,West
C6661,12,29,17,13,0.11,11,55,Female,South
C7868,8,21,30,9,0.11,11,67,Female,South
C2685,8,21,18,9,0.11,11,66,Male,West
C6241,10,25,19,11,0.11,11,46,Male,South
C2777,3,11,19,3,0.11,11,55,Female,West
C2432,10,25,15,11,0.11,11,55,Male,North
C5831,3,11,13,3,0.11,11,52,Female,South
C5490,9,23,24,10,0.11,11,46,Female,South
C6366,11,27,13,12,0.11,11,51,Male,West
C7932,10,25,15,11,0.11,11,56,Male,South
C8032,9,23,26,10,0.11,11,63,Female,North
C9130,13,31,21,14,0.11,11,66,Female,West
C2588,3,11,28,3,0.11,11,53,Female,North
C7513,4,13,24,4,0.11,11,51,Female,North
C2858,8,21,18,9,0.11,11,60,Male,South
C2805,13,31,28,14,0.11,11,70,Male,East
C9656,2,9,27,2,0.11,11,57,Female,East
C5482,12,29,36,13,0.11,11,60,Female,East
C8401,10,25,27,11,0.11,11,53,Female,West
C3362,6,17,20,7,0.11,11,70,Male,North
C9208,15,35,23,17,0.11,11,55,Female,South
C10045,13,31,21,14,0.11,11,47,Female,South
C10048,8,21,33,9,0.11,11,51,Male,North
C6524,3,11,16,3,0.11,11,65,Male,North
C9833,9,23,21,10,0.11,11,52,Female,East
C10864,11,27,28,12,0.11,11,51,Male,West
C3507,5,15,21,6,0.11,11,48,Female,South
C7001,8,21,28,9,0.11,11,53,Female,East
C3827,15,35,15,17,0.11,11,59,Male,West
C5091,8,21,23,9,0.11,11,50,Male,North
C5861,3,11,33,3,0.11,11,48,Female,West
C10293,1,7,15,1,0.11,11,45,Male,West
C1822,8,21,23,9,0.11,11,56,Female,West
C4141,2,9,28,2,0.11,11,52,Female,South
C7174,8,21,19,9,0.11,11,62,Female,North
C10083,13,31,22,14,0.11,11,65,Male,West
C10796,4,13,37,4,0.11,11,66,Male,North
C10820,6,17,21,7,0.11,11,70,Male,North
C1814,5,15,25,6,0.11,11,54,Male,North
C4292,10,25,13,11,0.11,11,60,Male,West
C4902,11,27,25,12,0.11,11,47,Female,North
C2316,6,17,17,7,0.11,11,63,Female,North
C10906,3,11,19,3,0.11,11,51,Male,East
C9810,9,23,31,10,0.11,11,50,Female,West
C9309,2,9,20,2,0.11,11,52,Male,West
C10014,9,23,26,10,0.11,11,47,Male,North
C6426,10,25,26,11,0.11,11,67,Female,West
C6469,5,15,14,6,0.11,11,61,Male,West
C7825,1,7,18,1,0.11,11,62,Male,West
C9961,2,9,21,2,0.11,11,51,Male,West
C1154,12,29,36,13,0.11,11,49,Female,North
C3493,2,9,15,2,0.11,11,47,Male,South
C6024,2,9,18,2,0.11,11,59,Male,West
C7839,1,7,19,1,0.11,11,66,Male,West
C2584,3,11,24,3,0.11,11,60,Female,East
C5356,14,33,32,16,0.11,11,62,Male,West
C3532,1,7,28,1,0.11,11,50,Male,South
C5197,3,11,20,3,0.11,11,67,Female,South
C9440,7,19,21,8,0.11,11,50,Male,North
C4049,11,27,30,12,0.11,11,59,Female,North
C6109,6,17,22,7,0.11,11,61,Male,South
C8260,3,11,18,3,0.12,12,64,Female,West
C9550,11,27,28,12,0.12,12,59,Female,West
C5033,3,11,24,3,0.12,12,57,Male,North
C8095,3,11,26,3,0.12,12,59,Male,North
C9933,12,29,33,13,0.12,12,52,Female,West
C9150,1,7,19,1,0.12,12,62,Male,North
C7818,13,31,26,15,0.12,12,55,Female,North
C9369,8,21,26,9,0.12,12,47,Female,East
C2067,14,33,22,16,0.12,12,63,Male,East
C3054,4,13,34,4,0.12,12,65,Male,East
C5458,13,31,14,15,0.12,12,68,Male,West
C10031,3,11,23,4000,0.12,12,53,Female,East
C10670,4,13,16,4,0.12,12,58,Male,West
C6236,14,33,14,16,0.12,12,70,Male,West
C9834,10,25,26,11,0.12,12,47,Male,North
C1377,1,7,22,1,0.12,12,45,Male,East
C4315,15,35,21,17,0.12,12,46,Male,West
C5293,8,21,20,9,0.12,12,52,Female,North
C8069,7,19,33,8,0.12,12,67,Female,North
C9826,3,11,23,3,0.12,12,50,Male,West
C3365,2,9,14,2,0.12,12,48,Male,South
C5380,15,35,15,17,0.12,12,46,Male,West
C1758,9,23,15,10,0.12,12,46,Female,South
C7334,6,17,26,7,0.12,12,68,Female,South
C10036,8,21,34,9,0.12,12,48,Female,West
C8143,5,15,30,6,0.12,12,70,Female,South
C2942,2,9,17,2,0.12,12,58,Female,South
C1961,4,13,16,4,0.12,12,61,Female,West
C3546,9,23,19,10,0.12,12,62,Male,North
C8807,13,31,25,15,0.12,12,49,Female,East
C7801,9,23,11,10,0.12,12,67,Male,West
C4174,4,13,27,4,0.12,12,70,Male,West
C5864,1,7,27,1,0.12,12,57,Male,West
C9613,8,21,18,9,0.12,12,57,Female,North
C10233,11,27,33,12,0.12,12,62,Male,North
C3698,6,17,19,7,0.12,12,51,Female,West
C3817,8,21,26,9,0.12,12,65,Male,South
C6080,3,11,33,3,0.12,12,70,Female,East
C2527,5,15,13,6,0.12,12,47,Male,West
C9703,3,11,27,3,0.12,12,45,Male,South
C11035,14,33,21,16,0.12,12,50,Male,West
C5311,3,11,21,3,0.12,12,70,Female,South
C7117,2,9,24,2,0.12,12,68,Male,West
C9007,1,7,25,1,0.12,12,53,Female,North
C10386,4,13,13,4,0.12,12,68,Male,East
C3799,7,19,15,8,0.12,12,60,Female,West
C7025,1,7,20,1,0.12,12,66,Female,North
C3230,10,25,24,11,0.12,12,51,Male,South
C4089,8,21,17,9,0.12,12,47,Female,West
C9206,1,7,14,1,0.12,12,60,Male,South
C4033,7,19,30,8,0.12,12,49,Male,West
C10615,7,19,27,8,0.12,12,66,Male,South
C2005,10,25,19,11,0.12,12,65,Female,West
C3790,10,25,17,11,0.12,12,50,Female,North
C6961,12,29,19,13,0.12,12,52,Female,South
C9831,2,9,36,2,0.12,12,53,Male,North
C10080,2,9,16,2,0.12,12,47,Female,South
C1839,12,29,28,13,0.12,12,58,Female,South
C4146,12,29,19,13,0.12,12,62,Female,South
C3361,15,35,21,17,0.12,12,59,Male,West
C10387,13,31,21,15,0.12,12,50,Male,South
C2110,9,23,14,10,0.12,12,57,Female,West
C7462,4,13,19,4,0.12,12,45,Female,South
C8416,7,19,22,8,0.12,12,59,Male,North
C9270,8,21,31,9,0.12,12,58,Male,North
C6234,5,15,30,6,0.12,12,61,Female,South
C8350,15,35,25,17,0.12,12,46,Male,South
C10373,9,23,16,10,0.12,12,70,Male,West
C9123,11,27,24,12,0.12,12,51,Female,North
C8218,1,7,26,1,0.12,12,50,Male,North
C9410,5,15,20,6,0.12,12,51,Female,East
C6984,15,35,19,17,0.12,12,61,Female,West
C7312,14,33,15,16,0.12,12,56,Female,East
C10084,15,35,24,17,0.12,12,46,Female,West
C6290,2,9,19,2,0.12,12,56,Female,North
C7770,6,17,29,7,0.12,12,50,Female,East
C10502,12,29,25,13,0.12,12,61,Female,East
C10579,15,35,16,17,0.12,12,55,Female,West
C3422,8,21,21,9,0.12,12,69,Male,South
C10785,15,35,32,17,0.12,12,52,Female,East
C7461,12,29,18,13,0.12,12,56,Male,West
C11029,7,19,28,8,0.12,12,66,Female,South
C1327,7,19,19,8,0.12,12,51,Male,North
C2339,4,13,22,4,0.12,12,61,Male,East
C5877,10,25,34,11,0.12,12,54,Male,West
C6860,13,31,21,15,0.12,12,69,Male,South
C10275,7,19,19,8,0.12,12,46,Male,West
C10402,4,13,17,4,0.12,12,64,Male,West
C3087,10,25,21,11,0.12,12,45,Male,North
C3141,11,27,25,12,0.12,12,70,Female,South
C7499,12,29,26,13,0.12,12,59,Female,South
C8669,4,13,20,4,0.12,12,56,Male,East
C3335,13,31,32,15,0.12,12,56,Female,West
C2332,9,23,18,10,0.12,12,55,Female,West
C4245,9,23,28,10,0.12,12,60,Male,South
C6438,6,17,30,7,0.12,12,58,Female,West
C2525,1,7,19,1,0.12,12,52,Female,West
C7858,11,27,13,12,0.12,12,58,Male,North
C3552,4,13,22,4,0.12,12,69,Female,West
C7003,11,27,14,12,0.12,12,63,Male,South
C3193,11,27,20,12,0.12,12,63,Male,West
C3491,13,31,19,15,0.12,12,63,Female,East
C2990,3,11,23,3,0.12,12,55,Female,West
C3991,12,29,14,13,0.12,12,70,Female,South
C5177,12,29,23,13,0.12,12,48,Female,North
C7691,13,31,30,15,0.12,12,70,Male,West
C10658,1,7,14,1,0.12,12,57,Male,South
C4254,10,25,17,11,0.12,12,55,Male,North
C1140,13,31,27,15,0.12,12,45,Male,East
C1246,8,21,21,9,0.12,12,66,Male,West
C7104,5,15,16,6,0.12,12,50,Female,East
C4131,2,9,19,2,0.12,12,52,Male,West
C2091,9,23,17,10,0.12,12,51,Female,West
C3150,12,29,27,13,0.12,12,49,Male,North
C7054,9,23,25,10,0.12,12,54,Male,West
C3718,4,13,23,4,0.12,12,70,Male,North
C7140,3,11,27,3,0.12,12,48,Female,North
C7657,6,17,19,7,0.13,13,57,Male,North
C1541,8,21,18,9,0.13,13,69,Male,South
C6425,15,35,16,17,0.13,13,63,Male,East
C7378,4,13,18,5,0.13,13,59,Male,West
C6802,11,27,15,12,0.13,13,60,Female,South
C7905,11,27,18,12,0.13,13,55,Female,South
C4268,5,15,24,6,0.13,13,66,Male,West
C8002,8,21,16,9,0.13,13,61,Male,East
C10200,14,33,16,16,0.13,13,51,Female,West
C9087,4,13,23,5,0.13,13,53,Female,South
C10878,6,17,26,7,0.13,13,63,Male,West
C3186,9,23,16,10,0.13,13,57,Female,North
C3574,10,25,28,11,0.13,13,49,Female,North
C3866,3,11,22,3,0.13,13,58,Female,South
C10305,2,9,22,2,0.13,13,50,Male,West
C1488,2,9,19,2,0.13,13,65,Female,South
C2213,7,19,19,8,0.13,13,50,Male,West
C3145,2,9,15,2,0.13,13,54,Male,North
C3971,11,27,31,12,0.13,13,50,Male,North
C7781,3,11,21,3,0.13,13,53,Female,West
C6695,1,7,19,1,0.13,13,53,Male,South
C4194,10,25,40,11,0.13,13,65,Female,North
C9212,2,9,19,2,0.13,13,49,Female,West
C5319,1,7,25,1,0.13,13,53,Male,North
C3735,8,21,17,9,0.13,13,48,Male,West
C4778,11,27,23,12,0.13,13,64,Female,East
C5150,4,13,20,5,0.13,13,50,Female,West
C10896,14,33,17,16,0.13,13,48,Male,North
C1428,4,13,13,5,0.13,13,58,Male,West
C8258,8,21,26,9,0.13,13,57,Female,South
C1804,15,35,16,17,0.13,13,49,Female,North
C10323,1,7,32,1,0.13,13,67,Female,South
C1553,14,33,26,16,0.13,13,45,Male,West
C7941,14,33,14,16,0.13,13,70,Male,North
C8495,9,23,19,10,0.13,13,52,Female,South
C4156,14,33,20,16,0.13,13,65,Male,West
C8254,3,11,27,3,0.13,13,48,Female,North
C7225,4,13,18,5,0.13,13,52,Female,West
C7618,7,19,12,8,0.13,13,48,Male,East
C2383,9,23,19,10,0.13,13,56,Female,East
C3923,9,23,12,10,0.13,13,69,Male,East
C5013,2,9,32,2,0.13,13,64,Male,West
C5715,13,31,11,15,0.13,13,47,Female,North
C5239,1,7,23,1,0.13,13,67,Male,West
C5963,13,31,27,15,0.13,13,69,Female,North
C8979,14,33,16,16,0.13,13,45,Male,North
C4571,1,7,33,1,0.13,13,66,Male,West
C3957,7,19,16,8,0.13,13,54,Male,North
C8497,13,31,28,15,0.13,13,61,Male,East
C3411,8,21,27,9,0.13,13,70,Male,West
C8225,14,33,20,16,0.13,13,70,Male,North
C1313,5,15,25,6,0.13,13,51,Female,North
C5586,4,13,12,5,0.13,13,53,Female,West
C2320,1,7,28,1,0.13,13,66,Male,South
C5944,6,17,19,7,0.13,13,62,Female,West
C5989,8,21,20,9,0.13,13,63,Female,West
C5132,7,19,32,8,0.13,13,64,Female,South
C11032,10,25,25,11,0.13,13,45,Female,West
C3476,5,15,15,6,0.13,13,50,Female,West
C3486,1,7,13,1,0.13,13,67,Female,North
C6665,7,19,25,8,0.13,13,59,Male,South
C9003,15,35,25,17,0.13,13,51,Female,North
C3836,3,11,14,3,0.13,13,56,Female,South
C7977,6,17,13,7,0.13,13,55,Male,West
C5053,8,21,20,9,0.13,13,59,Male,West
C7146,12,29,11,14,0.13,13,55,Male,West
C1608,5,15,26,6,0.13,13,57,Male,South
C1222,13,31,16,15,0.13,13,53,Female,South
C2679,1,7,30,1,0.13,13,52,Male,West
C4021,7,19,32,8,0.13,13,46,Female,South
C2953,5,15,20,6,0.13,13,47,Male,South
C6670,9,23,23,10,0.13,13,69,Female,South
C5111,1,7,15,1,0.13,13,55,Female,South
C6312,12,29,30,14,0.13,13,51,Male,West
C6580,5,15,27,6,0.13,13,56,Male,South
C1829,14,33,39,16,0.13,13,64,Male,North
C4836,11,27,21,12,0.13,13,66,Male,South
C5481,15,35,35,17,0.13,13,61,Male,East
C6303,7,19,25,8,0.13,13,65,Male,West
C5879,12,29,14,14,0.13,13,65,Male,South
C7039,15,35,27,17,0.13,13,65,Male,North
C10362,14,33,20,16,0.13,13,63,Female,West
C7455,1,7,17,1,0.13,13,61,Male,North
C3987,14,33,32,16,0.13,13,57,Female,West
C4138,12,29,23,14,0.13,13,58,Male,South
C4567,1,7,20,1,0.13,13,62,Male,North
C3656,13,31,33,15,0.13,13,64,Male,South
C5085,5,15,20,6,0.13,13,54,Male,West
C6701,5,15,18,6,0.13,13,59,Female,North
C9128,11,27,33,12,0.13,13,70,Male,East
C1774,9,23,29,10,0.13,13,64,Female,West
C7955,5,15,14,6,0.13,13,52,Female,North
C4421,8,21,18,9,0.13,13,53,Female,West
C8831,2,9,25,2,0.13,13,48,Female,West
C6714,2,9,31,2,0.13,13,49,Male,East
C3027,10,25,23,11,0.13,13,62,Male,West
C3228,3,11,38,3,0.13,13,50,Male,South
C5015,3,11,20,3,0.13,13,65,Female,West
C9606,9,23,15,10,0.13,13,63,Male,South
C4642,12,29,29,14,0.13,13,58,Male,North
C1362,9,23,11,10,0.13,13,53,Male,North
C8878,1,7,13,1,0.13,13,68,Female,North
C5631,9,23,11,10,0.13,13,54,Male,West
C7755,3,11,20,3,0.13,13,70,Male,South
C9955,7,19,31,8,0.13,13,47,Male,South
C3446,9,23,27,10,0.13,13,46,Male,North
C5550,12,29,39,14,0.13,13,69,Male,West
C8556,6,17,19,7,0.13,13,45,Female,South
C2468,2,9,17,2,0.13,13,52,Female,East
C5279,6,17,18,7,0.13,13,67,Female,East
C7748,7,19,25,8,0.13,13,52,Female,West
C9903,2,9,12,2,0.13,13,68,Male,South
C10555,3,11,29,3,0.13,13,62,Male,North
C5527,9,23,28,10,0.13,13,69,Male,South
C6170,15,35,29,17,0.13,13,61,Female,West
C1438,7,19,25,8,0.13,13,51,Female,West
C10848,2,9,28,2,0.13,13,48,Male,West
C9807,10,25,30,11,0.14,14,53,Male,South
C5151,5,15,32,6,0.14,14,55,Male,West
C7313,8,21,31,9,0.14,14,70,Female,South
C10706,10,25,16,11,0.14,14,47,Male,West
C3256,5,15,15,6,0.14,14,46,Female,South
C3376,1,7,31,1,0.14,14,49,Female,South
C7108,1,7,20,1,0.14,14,49,Female,South
C7674,5,15,20,6,0.14,14,65,Female,North
C9022,5,15,13,6,0.14,14,69,Female,North
C9923,7,19,19,8,0.14,14,59,Female,North
C2612,12,29,30,14,0.14,14,58,Male,North
C4202,2,9,28,2,0.14,14,67,Male,North
C3258,3,11,27,3,0.14,14,52,Male,East
C9476,5,15,28,6,0.14,14,58,Female,East
C7438,15,35,11,17,0.14,14,57,Female,East
C7578,15,35,17,17,0.14,14,46,Female,East
C5849,6,17,12,7,0.14,14,51,Female,West
C1688,3,11,18,3,0.14,14,63,Male,North
C10287,12,29,31,14,0.14,14,51,Female,West
C5221,11,27,15,13,0.14,14,68,Female,North
C8864,4,13,23,5,0.14,14,67,Female,West
C9999,9,23,26,10,0.14,14,64,Male,West
C9400,12,29,12,14,0.14,14,49,Female,North
C10052,10,25,24,11,0.14,14,51,Female,North
C6879,5,15,12,6,0.14,14,56,Male,South
C5541,10,25,36,11,0.14,14,58,Male,South
C8104,9,23,21,10,0.14,14,57,Female,South
C8524,5,15,36,6,0.14,14,54,Male,West
C1989,10,25,25,11,0.14,14,63,Female,North
C7430,10,25,34,11,0.14,14,60,Male,East
C2396,13,31,14,15,0.14,14,51,Female,West
C9767,11,27,34,13,0.14,14,48,Male,South
C2850,9,23,22,10,0.14,14,66,Male,West
C3637,15,35,26,17,0.14,14,56,Female,South
C6827,3,11,17,3,0.14,14,56,Male,North
C9803,10,25,14,11,0.14,14,50,Male,West
C7530,14,33,17,16,0.14,14,45,Male,South
C7239,7,19,18,8,0.14,14,47,Female,North
C2063,11,27,14,13,0.14,14,58,Female,East
C3940,13,31,17,15,0.14,14,57,Female,West
C4706,7,19,17,8,0.14,14,49,Male,North
C5796,12,29,32,14,0.14,14,69,Male,West
C10352,11,27,17,13,0.14,14,46,Female,West
C8841,10,25,37,11,0.14,14,55,Female,East
C4690,4,13,17,5,0.14,14,60,Female,West
C9018,8,21,18,9,0.14,14,62,Male,West
C4082,14,33,18,16,0.14,14,56,Male,North
C3492,5,15,23,6,0.14,14,52,Female,South
C5953,2,9,25,2,0.14,14,46,Male,South
C1339,12,29,29,14,0.14,14,70,Female,North
C4230,13,31,22,15,0.14,14,50,Male,East
C9525,13,31,27,15,0.14,14,49,Female,East
C4728,1,7,12,1,0.14,14,51,Male,West
C5090,6,17,12,7,0.14,14,48,Male,South
C8086,6,17,15,7,0.14,14,51,Female,West
C4095,6,17,15,7,0.14,14,62,Male,West
C2203,1,7,27,1,0.14,14,66,Female,South
C3206,4,13,17,5,0.14,14,65,Male,West
C6728,3,11,28,3,0.14,14,68,Male,North
C1259,4,13,22,5,0.14,14,50,Female,West
C3078,10,25,11,11,0.14,14,57,Male,South
C3825,9,23,23,10,0.14,14,65,Female,East
C8653,3,11,23,3,0.14,14,49,Male,West
C2904,4,13,22,5,0.14,14,69,Male,West
C4339,8,21,22,9,0.14,14,58,Female,South
C1676,2,9,17,2,0.14,14,49,Female,North
C3341,2,9,19,2,0.14,14,66,Male,West
C3403,14,33,29,16,0.14,14,54,Male,East
C2579,8,21,26,9,0.14,14,70,Female,West
C7029,8,21,20,9,0.14,14,51,Female,West
C8325,12,29,31,14,0.14,14,55,Male,South
C2891,11,27,20,13,0.14,14,48,Male,North
C7110,15,35,21,17,0.14,14,64,Female,West
C1208,4,13,28,5,0.14,14,55,Female,East
C4417,11,27,19,13,0.14,14,57,Female,West
C2707,2,9,27,2,0.14,14,67,Male,North
C8198,12,29,33,14,0.14,14,64,Male,North
C3438,6,17,30,7,0.14,14,62,Male,North
C6923,1,7,19,1,0.14,14,69,Female,East
C2464,3,11,27,3,0.14,14,48,Male,West
C1970,3,11,17,3,0.14,14,62,Male,South
C2265,15,35,22,17,0.14,14,46,Female,South
C2520,4,13,19,5,0.14,14,50,Female,South
C3724,10,25,20,11,0.14,14,52,Female,East
C3199,2,9,20,2,0.14,14,56,Female,West
C3394,7,19,16,8,0.14,14,47,Female,South
C1050,6,17,26,7,0.14,14,62,Female,South
C7984,3,11,18,3,0.14,14,50,Male,South
C9925,11,27,25,13,0.14,14,49,Male,South
